iter	Passed	Remaining
399	58397	77377
400	58542	77228
401	58681	77074
402	58806	76901
403	58946	76747
404	59103	76615
405	59238	76455
406	59366	76286
407	59511	76139
408	59672	76013
409	59826	75876
410	59969	75728
411	60114	75580
412	60257	75431
413	60393	75272
414	60554	75146
415	60702	75002
416	60839	74845
417	60971	74682
418	61104	74521
419	61238	74360
420	61388	74220
421	61543	74085
422	61700	73953
423	61852	73814
424	62001	73672
425	62142	73520
426	62289	73376
427	62439	73235
428	62593	73098
429	62754	72970
430	62922	72850
431	63072	72708
432	63208	72551
433	63341	72390
434	63475	72231
435	63625	72089
436	63762	71933
437	63899	71778
438	64051	71638
439	64197	71493
440	64391	71400
441	64543	71261
442	64683	71107
443	64836	70969
444	64984	70826
445	65117	70665
446	65249	70504
447	65388	70350
448	65529	70200
449	65670	70048
450	65824	69911
451	65961	69755
452	66091	69593
453	66227	69436
454	66356	69273
455	66486	69110
456	66630	68963
457	66774	68815
458	66932	68682
459	67077	68535
460	67221	68387
461	67379	68254
462	67506	68089
463	67641	67933
464	67778	67778
465	67911	67620
466	68051	67469
467	68193	67319
468	68330	67164
469	68469	67013
470	68629	66880
471	68774	66734
472	68924	66593
473	69059	66436
474	69215	66301
475	69370	66164
476	69510	66012
477	69659	65870
478	69801	65721
479	69947	65575
480	70090	65427
481	70243	65288
482	70412	65163
483	70560	65020
484	70703	64871
485	70839	64717
486	70992	64578
487	71138	64432
488	71286	64289
489	71439	64150
490	71608	64025
491	71775	63897
492	71958	63784
493	72132	63663
494	72296	63532
495	72441	63386
496	72659	63302
497	72802	63154
498	72952	63010
499	73103	62868
500	73256	62728
501	73403	62583
502	73541	62430
503	73688	62284
504	73841	62143
505	73986	61996
506	74152	61866
507	74311	61731
508	74469	61594
509	74619	61451
510	74769	61307
511	74938	61180
512	75157	61092
513	75331	60968
514	75520	60855
515	75756	60781
516	75968	60686
517	76239	60638
518	76480	60565
519	76658	60442
520	76925	60388
521	77283	60405
522	77475	60291
523	77658	60170
524	77815	60028
525	77966	59883
526	78117	59736
527	78284	59603
528	78421	59445
529	78574	59301
530	78722	59153
531	78870	59004
532	79017	58855
533	79178	58716
534	79339	58577
535	79497	58436
536	79660	58298
537	79790	58137
538	79948	57995
539	80128	57870
540	80300	57738
541	80476	57610
542	80630	57465
543	80782	57320
544	80938	57176
545	81124	57054
546	81313	56934
547	81481	56799
548	81628	56649
549	81774	56498
550	81923	56350
551	82074	56203
552	82212	56046
553	82363	55899
554	82515	55753
555	82659	55601
556	82810	55454
557	82960	55307
558	83123	55167
559	83291	55032
560	83433	54878
561	83593	54737
562	83740	54587
563	83898	54444
564	84053	54299
565	84198	54148
566	84348	54000
567	84496	53851
568	84633	53695
569	84772	53540
570	84908	53383
571	85060	53236
572	85201	53083
573	85358	52940
574	85502	52788
575	85640	52633
576	85785	52482
577	85934	52333
578	86085	52186
579	86221	52029
580	86357	51873
581	86511	51728
582	86659	51579
583	86816	51435
584	86950	51278
585	87098	51129
586	87251	50983
587	87398	50833
588	87537	50679
589	87674	50524
590	87817	50372
591	87969	50225
592	88125	50081
593	88283	49937
594	88433	49790
595	88581	49641
596	88774	49517
597	88911	49362
598	89059	49213
599	89208	49064
600	89353	48914
601	89502	48765
602	89638	48610
603	89802	48469
604	89951	48320
605	90091	48167
606	90253	48026
607	90402	47877
608	90555	47731
609	90703	47581
610	90839	47426
